question_id,specimen_id,taxon_id,locality_id,repository_id,question,category,evidence,priority,status,notes
WPR-Q-0001,WPR-SP-0035,WPR-TAX-0026,WPR-LOC-0014,WPR-REP-0001,"Is specimen 46.251/1 formally accepted as a syntype of Palaeoloxodon antiquus, and what is its current taxonomic/type-status treatment?",Type status / taxonomy,Museum Wales notes that it is probably one of the original syntypes and that the manuscript label has been lost.,High,Open,Check current Museum Wales curatorial record and the relevant type literature before marking this as a confirmed syntype.
WPR-Q-0002,WPR-SP-0023,WPR-TAX-0021,WPR-LOC-0009,WPR-REP-0002,Can the current NHMUK Data Portal permalink for PV R 7557 d be located and used instead of the iDigBio mirror?,Repository / source,"iDigBio exposes a provider record from NHMUK with holotype status, catalogue number, element and collection date.",Medium,Open,Replace aggregator URL once the matching NHMUK portal record is located.
WPR-Q-0003,,,,WPR-REP-0001,Can the precise collecting localities for the county-level Museum Wales type records be recovered from original labels or cited type publications?,Provenance,"The online holotype/lectotype pages often expose only county-level locality (e.g., Carmarthenshire, Glamorgan, Powys).",High,Open,Work through type references and/or request fuller catalogue export from Museum Wales.
WPR-Q-0004,,WPR-TAX-0027,WPR-LOC-0010,WPR-REP-0002,Which genus-level Morganucodon records from Pant Quarry 2 can be confidently assigned to Morganucodon watsoni?,Identification,"Several NHMUK portal records are currently filed only as Morganucodon, while PV M 116443 is explicitly determined as M. watsoni.",Medium,Open,"Check determination history, specimen descriptions and primary literature before assigning species-level IDs."
WPR-Q-0005,WPR-SP-0068; WPR-SP-0069,WPR-TAX-0055,WPR-LOC-0034,WPR-REP-0006,Why does GB3D list both BGS GSM48523Cprt and GSM48524Cprt as holotypes of Euproops gwenti?,Type status / specimen relationship,Both GB3D records independently state holotype and share locality/stratigraphic context.,High,Open,"Check BGS catalogue and Dix & Pringle type description to establish whether these are part/counterpart components, syntypic pieces, or a duplicated status."
WPR-Q-0006,WPR-SP-0056,WPR-TAX-0036,WPR-LOC-0017,WPR-REP-0001,"What is the current taxonomic interpretation of NMW 77.6G.13, which GB3D files as Cooksonia cambrensis but also lists Tortilicaulis transwalliensis in its name history?",Identification / nomenclature,GB3D specimen page contains both names in the name-history field.,Medium,Open,Check Edwards (1979) and later revisions before treating the historical assignment as a synonym rather than a reidentification history.
WPR-Q-0007,WPR-SP-0065,WPR-TAX-0052,WPR-LOC-0031,WPR-REP-0005,What is the valid published nomenclatural status and authorship of Multisolenia crenulata / Favosites crenulatus Hill ms.?,Taxonomy,GB3D lists manuscript-name history ('Hill ms.').,Medium,Open,Check the formal descriptive publication before using the taxon name in a public taxonomic summary.
WPR-Q-0008,WPR-SP-0066,WPR-TAX-0053,WPR-LOC-0032,WPR-REP-0005,"Is Glyptograptus tamariscus var. varians still accepted at varietal rank, or has it been synonymised/recombined?",Taxonomy,GB3D preserves the historical varietal name.,Low,Open,Check current graptolite taxonomy if the register later exposes accepted-name fields publicly.
WPR-Q-0009,WPR-SP-0071,WPR-TAX-0057,WPR-LOC-0036,WPR-REP-0007,What is the current accepted combination and authority for Sphenopteris teiliana / Diplopteridium teilianum?,Taxonomy,GB3D displays Sphenopteris teiliana and a historical Diplopteridium teilianum name history.,Medium,Open,Verify against modern Carboniferous palaeobotanical literature.
WPR-Q-0010,,WPR-TAX-0023,WPR-LOC-0038; WPR-LOC-0039,WPR-REP-0002,What formal lithostratigraphic and chronostratigraphic unit should be assigned consistently to the Pontalun 2 and Pontalun 3 fissure-fill Morganucodon assemblages?,Stratigraphy,"NHMUK records clearly identify the fissure-fill localities, but the working geological-unit entry is deliberately broad.",Medium,Open,Use primary Bridgend fissure-fauna literature before normalising these records to a named unit.
